timestamp num bytes from host ip seq ttl ping ms
2014-11-25@19:56:13 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3395 ttl=245 time=120 ms
2014-11-25@19:56:14 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3396 ttl=245 time=106 ms
2014-11-25@19:56:15 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3397 ttl=245 time=17.9 ms
2014-11-25@19:56:16 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3398 ttl=245 time=125 ms
2014-11-25@19:56:17 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3399 ttl=245 time=93.8 ms
2014-11-25@19:56:18 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3400 ttl=245 time=91.9 ms
2014-11-25@19:56:19 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3401 ttl=245 time=121 ms
2014-11-25@19:56:20 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3402 ttl=245 time=65.6 ms
2014-11-25@19:56:21 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3403 ttl=245 time=13.9 ms
2014-11-25@19:56:22 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3404 ttl=245 time=18.1 ms
2014-11-25@19:56:23 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3405 ttl=245 time=53.5 ms
2014-11-25@19:56:24 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3406 ttl=245 time=71.9 ms
2014-11-25@19:56:25 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3407 ttl=245 time=101 ms
2014-11-25@19:56:26 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3408 ttl=245 time=22.5 ms
2014-11-25@19:56:27 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3409 ttl=245 time=96.3 ms
2014-11-25@19:56:28 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3410 ttl=245 time=10.0 ms
2014-11-25@19:56:29 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3411 ttl=245 time=257 ms
2014-11-25@19:56:30 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3412 ttl=245 time=15.5 ms
2014-11-25@19:56:31 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3413 ttl=245 time=214 ms
2014-11-25@19:56:32 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3414 ttl=245 time=99.5 ms
2014-11-25@19:56:33 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3415 ttl=245 time=264 ms
2014-11-25@19:56:34 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3416 ttl=245 time=73.6 ms
2014-11-25@19:56:35 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3417 ttl=245 time=128 ms
2014-11-25@19:56:36 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3418 ttl=245 time=123 ms
2014-11-25@19:56:37 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3419 ttl=245 time=130 ms
2014-11-25@19:56:38 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3420 ttl=245 time=216 ms
2014-11-25@19:56:39 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3421 ttl=245 time=109 ms
2014-11-25@19:56:40 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3422 ttl=245 time=35.2 ms
2014-11-25@19:56:41 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3423 ttl=245 time=137 ms
2014-11-25@19:56:42 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3424 ttl=245 time=123 ms
2014-11-25@19:56:43 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3425 ttl=245 time=95.9 ms
2014-11-25@19:56:44 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3426 ttl=245 time=98.5 ms
2014-11-25@19:56:45 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3427 ttl=245 time=32.8 ms
2014-11-25@19:56:46 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3428 ttl=245 time=103 ms
2014-11-25@19:56:47 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3429 ttl=245 time=291 ms
2014-11-25@19:56:48 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3430 ttl=245 time=281 ms
2014-11-25@19:56:49 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3431 ttl=245 time=167 ms
2014-11-25@19:56:50 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3432 ttl=245 time=217 ms
2014-11-25@19:56:51 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3433 ttl=245 time=82.4 ms
2014-11-25@19:56:52 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3434 ttl=245 time=121 ms
2014-11-25@19:56:53 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3435 ttl=245 time=89.7 ms
2014-11-25@19:56:54 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3436 ttl=245 time=89.4 ms
2014-11-25@19:56:55 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3437 ttl=245 time=119 ms
2014-11-25@19:56:56 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3438 ttl=245 time=39.3 ms
2014-11-25@19:56:57 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3439 ttl=245 time=119 ms
2014-11-25@19:56:58 64 bytes from redirector.heise.de (193.99.144.80): icmp_seq=3440 ttl=245 time=130 ms
